Stationsnummer;Datum;TagesmittelDesLuftdrucks(0.1HPA);Tmax(0.1°C);Tmin(0.1°C);TminErdboden(0.1°C);relLuftfeuchte(%);Windstaerke(o.1BFT);Bedeckungsgrad(0.1Achtel);TagessummeDerSonnenscheindauer(0.1Std);TagesmaxDerWindgeschwindigkeit(0.1M/S) 
03883;19790614;-999.9;17.5;11.5;9.5;79;3.7;7.7;1.3;-9.9 
03883;19790615;-999.9;15.5;10.7;11.5;82;1.3;6.7;3.1;-9.9 
03883;19790616;-999.9;17.5;10.5;10.2;78;1.7;7.0;1.9;-9.9 
03883;19790617;-999.9;16.6;8.4;6.5;71;2.0;5.0;7.2;-9.9 
03883;19790618;-999.9;20.5;10.5;9.0;77;2.3;4.7;5.9;-9.9 
03883;19790619;-999.9;20.5;12.7;11.0;80;1.0;2.3;10.6;-9.9 
03883;19790620;-999.9;23.5;8.5;7.3;77;0.7;3.7;11.0;-9.9 
03883;19790621;-999.9;27.2;11.5;10.8;63;0.7;0.7;13.8;-9.9 
03883;19790622;-999.9;22.0;13.5;12.0;80;1.0;6.0;4.1;-9.9 
03883;19790623;-999.9;21.0;12.0;10.8;76;1.3;2.3;5.4;-9.9 
03883;19790624;-999.9;26.5;14.6;13.0;76;1.3;6.3;6.2;-9.9 
03883;19790625;-999.9;20.4;11.2;10.0;54;2.7;1.7;12.5;-9.9 
03883;19790626;-999.9;21.0;11.2;8.2;67;1.3;5.3;6.5;-9.9 
03883;19790627;-999.9;20.5;12.5;11.0;74;1.7;5.7;2.0;-9.9 
03883;19790628;-999.9;21.5;9.0;7.5;63;1.0;0.7;12.2;-9.9 
03883;19790629;-999.9;19.8;12.6;10.3;86;2.7;5.3;1.9;-9.9 
03883;19790630;-999.9;17.0;8.6;7.0;70;3.7;5.7;6.7;-9.9 
03883;19790701;-999.9;17.0;7.5;7.2;70;3.7;4.3;6.0;-9.9 
03883;19790702;-999.9;16.7;8.0;6.5;67;2.0;7.0;7.9;-9.9 
03883;19790703;-999.9;18.3;9.0;6.5;76;2.0;6.0;1.9;-9.9 
03883;19790704;-999.9;20.0;8.5;6.0;69;2.0;5.0;9.3;-9.9 
03883;19790705;-999.9;20.0;8.3;6.5;72;3.0;3.3;7.8;-9.9 
03883;19790706;-999.9;18.0;10.0;7.2;78;4.0;5.3;1.5;-9.9 
03883;19790707;-999.9;22.3;9.7;7.5;76;3.3;8.0;1.2;-9.9 
03883;19790708;-999.9;17.0;12.0;12.0;76;3.7;6.0;2.8;-9.9 
03883;19790709;-999.9;20.0;10.8;9.2;86;4.3;6.0;3.4;-9.9 
03883;19790710;-999.9;17.5;11.5;9.7;70;2.7;4.7;6.9;-9.9 
03883;19790711;-999.9;20.2;9.2;6.7;70;2.7;3.7;9.6;-9.9 
03883;19790712;-999.9;22.0;6.5;4.7;71;0.0;1.7;12.6;-9.9 
03883;19790713;-999.9;25.7;8.7;7.0;64;0.3;1.3;12.4;-9.9 
03883;19790714;-999.9;23.0;12.7;10.7;67;0.7;2.7;9.5;-9.9 
03883;19790715;-999.9;18.8;12.9;11.5;70;1.7;6.0;3.7;-9.9 
03883;19790716;-999.9;15.4;11.0;8.3;87;4.7;6.0;4.7;-9.9 
03883;19790717;-999.9;20.0;10.6;8.7;71;2.0;6.3;6.7;-9.9 
03883;19790718;-999.9;23.0;14.5;13.8;87;3.7;7.3;0.9;-9.9 
03883;19790719;-999.9;17.3;12.2;11.1;86;3.3;7.3;3.4;-9.9 
03883;19790720;-999.9;17.0;11.5;11.0;78;2.7;6.0;2.8;-9.9 
03883;19790721;-999.9;15.3;9.0;9.0;90;3.0;7.7;0.5;-9.9 
03883;19790722;-999.9;15.5;10.5;9.3;86;3.3;7.0;4.8;-9.9 
03883;19790723;-999.9;18.3;11.0;10.9;82;3.3;6.7;3.0;-9.9 
03883;19790724;-999.9;17.7;12.0;12.0;82;3.0;5.7;4.5;-9.9 
03883;19790725;-999.9;16.0;9.5;7.5;93;1.7;7.7;0.2;-9.9 
03883;19790726;-999.9;20.6;12.7;12.0;84;2.0;4.0;6.7;-9.9 
03883;19790727;-999.9;17.0;9.0;6.0;94;1.3;6.0;2.0;-9.9 
03883;19790728;-999.9;23.7;9.0;8.0;74;0.7;5.0;9.8;-9.9 
03883;19790729;-999.9;23.6;14.6;13.5;85;2.0;4.0;2.6;-9.9 
03883;19790730;-999.9;21.8;15.6;14.4;83;3.3;5.0;5.2;-9.9 
03883;19790731;-999.9;23.7;14.5;13.2;79;2.0;7.3;3.4;-9.9 
03883;19790801;-999.9;21.5;15.0;13.5;74;4.3;6.0;5.7;-9.9 
03883;19790802;-999.9;21.5;16.2;14.5;74;3.3;5.7;6.7;-9.9 
03883;19790803;-999.9;22.0;13.0;11.0;75;2.0;3.0;8.0;-9.9 
03883;19790804;-999.9;19.5;11.5;9.5;82;1.0;4.7;5.0;-9.9 
03883;19790805;-999.9;20.0;7.5;7.0;75;0.7;2.7;12.8;-9.9 
03883;19790806;-999.9;22.5;8.5;8.0;70;0.7;6.7;7.0;-9.9 
03883;19790807;-999.9;23.5;11.0;9.7;62;1.3;6.7;3.2;-9.9 
03883;19790808;-999.9;23.5;13.8;12.5;88;1.3;6.3;5.1;-9.9 
03883;19790809;-999.9;19.8;10.3;9.0;82;1.3;5.7;6.5;-9.9 
03883;19790810;-999.9;15.2;12.1;12.5;91;1.7;5.3;0.2;-9.9 
03883;19790811;-999.9;18.5;9.6;7.5;81;2.0;6.0;6.4;-9.9 
03883;19790812;-999.9;20.2;8.2;7.0;85;0.7;3.7;5.4;-9.9 
03883;19790813;-999.9;22.5;8.1;7.0;79;0.0;4.7;10.0;-9.9 
03883;19790814;-999.9;25.4;11.6;10.1;70;1.3;2.0;9.3;-9.9 
03883;19790815;-999.9;21.0;13.2;12.0;83;1.3;4.7;3.8;-9.9 
03883;19790816;-999.9;21.5;12.5;11.3;85;2.0;4.0;4.4;-9.9 
03883;19790817;-999.9;21.0;13.0;11.5;84;1.3;4.7;1.7;-9.9 
03883;19790818;-999.9;26.0;13.0;11.0;73;1.0;2.3;10.4;-9.9 
03883;19790819;-999.9;25.9;12.0;10.0;70;0.3;2.0;7.8;-9.9 
03883;19790820;-999.9;19.9;15.2;14.3;86;1.7;4.0;2.1;-9.9 
03883;19790821;-999.9;20.0;13.0;11.3;86;3.3;6.3;0.2;-9.9 
03883;19790822;-999.9;19.5;9.5;8.3;73;0.3;5.3;11.4;-9.9 
03883;19790823;-999.9;19.3;9.2;7.0;77;1.3;5.3;3.5;-9.9 
03883;19790824;-999.9;19.0;8.0;6.3;78;2.0;6.3;7.0;-9.9 
03883;19790825;-999.9;16.5;9.4;7.5;88;2.3;6.0;3.7;-9.9 
03883;19790826;-999.9;15.6;5.2;3.5;89;1.7;8.0;1.1;-9.9 
03883;19790827;-999.9;16.2;10.6;9.3;81;4.3;6.0;4.0;-9.9 
03883;19790828;-999.9;14.7;11.0;10.2;84;3.3;7.7;0.8;-9.9 
03883;19790829;-999.9;18.7;11.5;10.5;83;1.7;5.0;0.1;-9.9 
03883;19790830;-999.9;23.5;8.0;6.5;81;0.7;2.3;10.2;-9.9 
03883;19790831;-999.9;26.2;9.4;7.5;76;1.3;3.7;9.0;-9.9 
03883;19790901;-999.9;25.5;11.9;9.4;83;0.3;1.3;7.9;-9.9 
03883;19790902;-999.9;28.0;13.0;10.5;76;1.7;2.3;8.2;-9.9 
03883;19790903;-999.9;18.5;12.0;12.0;87;1.7;6.7;2.9;-9.9 
03883;19790904;-999.9;18.5;12.0;11.4;85;1.3;4.7;3.0;-9.9 
03883;19790905;-999.9;17.2;8.4;6.5;82;0.3;8.0;0.0;-9.9 
03883;19790906;-999.9;21.8;7.8;5.5;74;0.7;0.0;11.2;-9.9 
03883;19790907;-999.9;24.3;10.0;6.5;81;0.3;0.3;8.5;-9.9 
03883;19790908;-999.9;23.3;14.5;12.8;83;0.0;5.3;6.0;-9.9 
03883;19790909;-999.9;20.5;12.0;10.0;97;0.3;4.7;0.0;-9.9 
03883;19790910;-999.9;19.0;10.0;9.0;85;0.0;5.7;4.2;-9.9 
03883;19790911;-999.9;19.8;12.7;10.5;81;3.3;5.7;4.1;-9.9 
03883;19790912;-999.9;20.3;12.0;8.5;77;1.0;3.7;9.4;-9.9 
03883;19790913;-999.9;17.5;11.0;11.0;79;2.0;5.0;3.1;-9.9 
03883;19790914;-999.9;17.0;6.0;4.0;78;2.0;5.0;7.2;-9.9 
03883;19790915;-999.9;13.8;7.0;5.8;76;3.3;2.7;9.0;-9.9 
03883;19790916;-999.9;13.7;4.4;2.4;76;1.7;6.0;6.2;-9.9 
